QUESTION	Q_UNDERGOER	Q_ENABLER	Q_TRIGGER	Q_RESULT	Q_UNDERSPECIFIED	ANSWER_CHOICE	ANSWER_SENTENCE	A_UNDERGOER	A_ENABLER	A_TRIGGER	A_RESULT	A_UNDERSPECIFIED	UNDERGOER_SCORE	ENABLER_SCORE	TRIGGER_SCORE	RESULT_SCORE	UNDERSPECIFIED_SCORE	CORRECT_ANSWER
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	The plant will then use the stored water in times or seasons of low precipitation.	plant		stored			nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	precipitation Water that falls to the Earth from the sky.			falls		sky [source] earth[destination]	nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	Rain is a form of precipitation in which water falls back to earth as a liquid.	water|liquid		falls			nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	Also when the air cannot hold any more water, it precipitates.						nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	Precipitation is the term used to describe water (moisture) that falls from the sky.					sky	nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	Different forms of precipitation include: Rain is liquid water falling from the sky.					sky	nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.	water vapour|atmosphere	condensation|atmosphere	falling|hail	falling|condensation|rain	atmosphere	nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.	water	condensation	falls			nan	nan	0	nan	0	revolution
<span class="blank"> </span> refers to the movement of Earth around the sun. 			refers		around the sun	precipitation	The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation					clouds	nan	nan	0	nan	0	revolution
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						shedding	loss of bits of outer skin by peeling or shedding or coming off in scales						nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						shedding	The act of letting fall, casting off, or parting with something, as a plant its seed when ripe, or a covering husk						nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						shedding	The act of shedding, separating, or casting off or out.			shedding			nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						loosening	make (something tied, fastened, or fixed in place) less tight or firm	something		make	less tight or firm		nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						molting	Other arthropods have a much different process and only molt.						nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						molting	A process in ecdysozoans in which the exoskeleton is shed at intervals, allowing growth by the production of a larger exoskeleton.						nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						molting	periodic shedding of the cuticle in arthropods or the outer skin in reptiles						nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						molting	process in which an animal sheds and replaces the outer covering of the body, such as the exoskeleton in arthropods						nan	nan	nan	nan	nan	molting
The process in which a snake loses its outer skin is called <span class="blank"> </span>. 						molting	The act or process by which an animal molts; especially, the periodic shedding of the cuticle in arthropods or the outer skin in reptiles, or feathers in birds.						nan	nan	nan	nan	nan	molting
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	carbon cycle	Along with the nitrogen cycle and the water cycle, the carbon cycle comprises a sequence of events that are key to making the Earth capable of sustaining life						nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	carbon cycle	Global biogeochemical cycle which cycles carbon through biotic and abiotic components of ecosystems.			cycle	carbon|biotic|ecosystems		nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	carbon cycle	it describes the movement of carbon as it is recycled and reused throughout the biosphere						nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	carbon cycle	It is one of the most important cycles of the Earth and allows for carbon to be recycled and reused throughout the biosphere and all of its organisms						nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	carbon cycle	The carbon cycle is the biogeochemical cycle by which carbon is exchanged among the biosphere,pedosphere, geosphere, hydrosphere, and atmosphere of the Earth						nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	nitrogen cycle	interconnected pathways through which nitrogen is recycled through the biotic and abiotic components of the biosphere						nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	nitrogen cycle	The natural process by which nitrogen, either from the atmosphere or from decomposed organic material, is converted by soil bacteria to compounds assimilated by plants.						nan	nan	0	nan	0	carbon cycle
The continuous transfer of carbon between the atmosphere and organisms 			transfer		between the atmoshpere and organisms	nitrogen cycle	The nitrogen cycle is the process by which nitrogen is converted between its various chemical forms.						nan	nan	0	nan	0	carbon cycle
What is the process of the movement of water and dissolved materials through the cell membrane? 						diffusion	Conduction or diffusion The transfer of energy between objects that are in physical contact.						nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						diffusion	the diffusion of water into the blood.	water	the blood	diffusion		into the blood	nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						diffusion	The water from the lumen diffuses into the blood.	water|lumen		diffuses		into the blood	nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						diffusion	Plants get rid of carbon dioxide and oxygen through diffusion.	Plants|carbon		diffusion			nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						diffusion	Oxygen from the water diffuses into the capillaries in the gills.	Oxygen|water	capillaries	diffuses	gills	into the capillaries in the gills	nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						osmosis	Plant roots uptake water from the surrounding soil through osmosis.			osmosis	water	from the surrounding soil	nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						osmosis	Roots absorb water from the surrounding soil using the process of osmosis.	Roots	water	absorb		from the surrounding soil	nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						osmosis	Water is taken into the plant through roots by osmosis and is carried through the stems to the leaves.			osmosis	Water|plant|roots	through roots	nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						osmosis	Water enters plant cells from the environment via osmosis.	Water|cells		osmosis	plant		nan	nan	nan	nan	nan	osmosis
What is the process of the movement of water and dissolved materials through the cell membrane? 						osmosis	Any water gained by osmosis may help keep a plant cell rigid or turgid.	plant		osmosis	water|help|cell		nan	nan	nan	nan	nan	osmosis
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	carbon cycle	Along with the nitrogen cycle and the water cycle, the carbon cycle comprises a sequence of events that are key to making the Earth capable of sustaining life						0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	carbon cycle	Global biogeochemical cycle which cycles carbon through biotic and abiotic components of ecosystems.			cycle	carbon|biotic|ecosystems		0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	carbon cycle	it describes the movement of carbon as it is recycled and reused throughout the biosphere						0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	carbon cycle	It is one of the most important cycles of the Earth and allows for carbon to be recycled and reused throughout the biosphere and all of its organisms						0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	carbon cycle	The carbon cycle is the biogeochemical cycle by which carbon is exchanged among the biosphere,pedosphere, geosphere, hydrosphere, and atmosphere of the Earth						0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	nitrogen cycle	interconnected pathways through which nitrogen is recycled through the biotic and abiotic components of the biosphere						0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	nitrogen cycle	The natural process by which nitrogen, either from the atmosphere or from decomposed organic material, is converted by soil bacteria to compounds assimilated by plants.						0	nan	0	nan	0	nitrogen cycle
The continuous movement of nitrogen between air, soil, plants and animals. 	nitrogen|soil|plants|animals		movement		between air, soil, plants and animals	nitrogen cycle	The nitrogen cycle is the process by which nitrogen is converted between its various chemical forms.						0	nan	0	nan	0	nitrogen cycle
What make oceans bigger? 						deposition	deposition occurs where the water slows down.	water	down	deposition			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	As water flows over a surface, it can pick up particles and deposit them in a body of water 2.					in a body of water	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Example of deposition: Change of water vapor into ice directly in sub freezing air.	water|sub	freezing	Change			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Precipitation is a major component of the water cycle, and is responsible for depositing the fresh water on the planet.					on the planet	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Flowing water erodes or deposits particles depending on how fast the water is moving and how big the particles are.	particles	Flowing water|water	erodes			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition occurs when the particles stop moving.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Erosion and deposition result from the interaction between air, water, and land.	air|water|land		interaction			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition is the geological process in which sediments, soil and rocks are added to a landform or land mass.	sediments|soil|rocks		added		landform | land mass	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition is the process by which rocks, sand and sediment are deposited by the forces of erosion.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition is the settling of particles (atoms or molecules) or sediment from a solution, suspension and mixture or vapor onto a pre-existing surface.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition is a process in which gas transforms into solid.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition occurs when the particles stop moving.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Erosion and deposition result from the interaction between air, water, and land.	air|water|land		interaction			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition is the laying down of materials, such as rocks, stones, gravel, sand, and mud.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	The accumulation or laying down of matter by a natural process, as the laying down of sediments in a river or the accumulation of mineral deposits in a bodily organ.	sediments|river|mineral deposits		accumulation|laying		river | bodily organ	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	The process of changing from a gas to a solid without passing through an intermediate liquid phase			changing	solid		nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	deposition occurs when molecules settle out of a solution.	molecules	settle|solution	deposition			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	Deposition is the geological process in which sediments, soil and rocks are added to a landform or land mass.	sediments|soil|rocks		added			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						deposition	a phase transition in which gas transforms into solid.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						accumulation	Clouds are accumulations of water droplets, condensed from vapor-saturated air.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						accumulation	As land plants grow, they accumulate more and more carbon.					carbon	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						accumulation	large changes are the result of the gradual accumulation of small changes over long periods of time.					over long periods of time	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						accumulation	Flowing water accumulates into larger depressions on the ground surface.	Flowing water	depressions	accumulates		into larger depressions on the ground surface	nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						accumulation	Accumulation is the process of bringing things together.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						rain	Condensed water vapor that falls to the earth as water drops.			falls			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						rain	Rain is liquid water in the form of droplets that have condensed from atmospheric water vapor and then precipitated - that is, become heavy enough to fall under gravity		gravity	fall			nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						rain	To fall in drops of water from the clouds.		drops|water|clouds	fall	the		nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						rain	To have rain fall from the sky.						nan	nan	nan	nan	nan	deposition
What make oceans bigger? 						rain	Water condensed from atmospheric vapor and falling in drops.			falling			nan	nan	nan	nan	nan	deposition
A giraffe's long neck is a(n) 						mimicry	The last method of camouflage animals might use is called mimicry.	animals		mimicry			nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						mimicry	Animals use concealing or disruptive coloration, disguise, and mimicry to protect themselves.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						mimicry	Other flowers use mimicry to attract pollinators.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						mimicry	Predators may also use mimicry to lure their prey, however.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						mimicry	The resemblance of one organism to another or to an object in its surroundings for concealment and protection from predators.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						adaptation	The adaptation of animals are the features an animal has to live in their environment.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						adaptation	Animals and plants are adapted to the conditions of the habitats in which they live.	Animals|plants	conditions of|habitats	adapted			nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						adaptation	Plants and animals have adapted to changes in the environment for millions of years.	Plants|animals	changes|millions	adapted			nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						adaptation	Even well watered plants may wilt if the plant cannot adapt it transpiration rate.	plant		transpiration			nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						adaptation	Inherited characteristic of an organism that enhances its survival and reproduction in specific environments.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Some animals use camouflage to hide from their enemies.	animals		camouflage	hide|their enemies		nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Most animals of the open sea use at least one of these methods to camouflage themselves.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Prey animals often use camouflage to hide from predators.	animals		camouflage	hide from predators		nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	There are four basic ways animals camouflage themselves.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	An example of animals that uses both aggressive and defensive camouflage is octopuses.	animals		camouflage	octopuses	aggressive | defensive	nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.	Animals		change	can not be easily		nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Camouflage is the use of any combination of materials, coloration or illumination for concealment						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Camouflage is an adaptation that helps many animals avoid detection by predators or prey because it allows them to blend in to their natural environments.	animals	detection|natural	adaptation	avoid|predators|blend|their|environments		nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Structural adaptation that enables species to blend with their surroundings	species	their	adaptation	blend|surroundings		nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage			camouflage			nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.	Animals		change	can not be easily		nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Something, that makes an animal, person, building etc. difficult for enemies to see.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Camouflage is a method of avoiding detection by mimicking the surrounding environment						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	The leopard's camouflage makes it blend in with the forest shadows.						nan	nan	nan	nan	nan	adaptation
A giraffe's long neck is a(n) 						camouflage	Rabbits use their white fur as camouflage in the snow.	Rabbits		camouflage		snow	nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						adaptation	The adaptation of animals are the features an animal has to live in their environment.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						adaptation	Animals and plants are adapted to the conditions of the habitats in which they live.	Animals|plants	conditions of|habitats	adapted			nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						adaptation	Plants and animals have adapted to changes in the environment for millions of years.	Plants|animals	changes|millions	adapted			nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						adaptation	Even well watered plants may wilt if the plant cannot adapt it transpiration rate.	plant		transpiration			nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						adaptation	Inherited characteristic of an organism that enhances its survival and reproduction in specific environments.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						physical change	A change in the physical state of a molecule, object, wave or system.			change			nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						physical change	A physical change involves a change in physical properties						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						physical change	Physical changes occur when objects or substances undergo a change that does not change their chemical composition	objects		changes|change	change|composition		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						physical change	Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						physical change	Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Some animals use camouflage to hide from their enemies.	animals		camouflage	hide|their enemies		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Most animals of the open sea use at least one of these methods to camouflage themselves.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Prey animals often use camouflage to hide from predators.	animals		camouflage	hide from predators		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	There are four basic ways animals camouflage themselves.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	An example of animals that uses both aggressive and defensive camouflage is octopuses.	animals		camouflage	octopuses	aggressive | defensive	nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.	Animals		change	can not be easily		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Camouflage is the use of any combination of materials, coloration or illumination for concealment						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Camouflage is an adaptation that helps many animals avoid detection by predators or prey because it allows them to blend in to their natural environments.	animals	detection|natural	adaptation	avoid|predators|blend|their|environments		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Structural adaptation that enables species to blend with their surroundings	species	their	adaptation	blend|surroundings		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage			camouflage			nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Animals that change color or are of a color similar to their environment can camouflage themselves so that they cannot be easily seen.	Animals		change	can not be easily		nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Something, that makes an animal, person, building etc. difficult for enemies to see.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Camouflage is a method of avoiding detection by mimicking the surrounding environment						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	The leopard's camouflage makes it blend in with the forest shadows.						nan	nan	nan	nan	nan	adaptation
A/an <span class="blank"> </span> is something that helps a living thing survive in its environment. 						camouflage	Rabbits use their white fur as camouflage in the snow.	Rabbits		camouflage		snow	nan	nan	nan	nan	nan	adaptation
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		asexual reproduction	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes					without the fusion of gametes	0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		asexual reproduction	Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists	bacteria|protists		reproduction	single-celled organisms|the archaea|and		0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		asexual reproduction	Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only	offspring|single organism		reproduction|inherit	from a|the genes of|parent		0.766322783014	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		asexual reproduction	reproduction that involves a single parent and results in offspring that are all genetically identical to the parent	single parent and|genetically		reproduction	that|results in offspring|all|identical to|parent		0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		asexual reproduction	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).	gametes|organism	single parent|gametes|cell	generation|budding	offspring|single cell|division|entire organism|two|parts	occurs without the fusion of gametes	0.0112103987234	nan	0	0.125814698582	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		self-pollination	However, self pollenizing can be advantageous, allowing plants to spread beyond the range of suitable pollinators or produce offspring in areas where pollinator populations have been greatly reduced or are naturally variable						0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		self-pollination	Most of the self-pollinating plants have small, relatively inconspicuous flowers that shed pollen directly onto the stigma, sometimes even before the bud opens						0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		self-pollination	Self pollination limits the variety of progeny and may depress plant vigor						0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		self-pollination	Self-pollination is a form of pollination that can occur when a flower has both stamen and a carpel (pistil) in which the cultivar or species is self fertile and the stamens and the sticky stigma of the carpel contact each other in order to accomplish pollination						0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes					without the fusion of gametes	0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists	bacteria|protists		reproduction	single-celled organisms|the archaea|and		0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only	offspring|single organism		reproduction|inherit	from a|the genes of|parent		0.766322783014	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	reproduction that involves a single parent and results in offspring that are all genetically identical to the parent	single parent and|genetically		reproduction	that|results in offspring|all|identical to|parent		0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).	gametes|organism	single parent|gametes|cell	generation|budding	offspring|single cell|division|entire organism|two|parts	occurs without the fusion of gametes	0.0112103987234	nan	0	0.125814698582	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	A type of reproduction in which two parents give rise to offspring that have unique combinations of genes inherited from the gametes of the parents.	offspring|genes	parents	inherited			0.766322783014	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		sexual reproduction	type of reproduction that involves the fertilization of gametes produced by two parents and produces genetically variable offspring	parents		type	gametes|variable offspring		0	nan	0	0.540174461235	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		cross-pollination	Many plants require this kind of pollen distribution, known as cross-pollination, in order to produce viable seeds.	plants		require	pollen		1.0	nan	0	0	nan	sexual reproduction
The process of making a new plant from the joining of a sperm and a egg cell is known as 	plant		making|joining	sperm		cross-pollination	Because cross-pollination between varieties produces variable results, apples and some other fruit trees are usually not grown from seeds.						0	nan	0	0	nan	sexual reproduction
Offspring come from a single parent during <span class="blank"> </span>. 						asexual reproduction	A more stringent definition is agamogenesis which is reproduction without the fusion of gametes					without the fusion of gametes	nan	nan	nan	nan	nan	asexual reproduction
Offspring come from a single parent during <span class="blank"> </span>. 						asexual reproduction	Asexual reproduction is the primary form of reproduction for single-celled organisms such as the archaea, bacteria, and protists	bacteria|protists		reproduction	single-celled organisms|the archaea|and		nan	nan	nan	nan	nan	asexual reproduction
Offspring come from a single parent during <span class="blank"> </span>. 						asexual reproduction	Asexual reproduction is a mode of reproduction by which offspring arise from a single organism, and inherit the genes of that parent only	offspring|single organism		reproduction|inherit	from a|the genes of|parent		nan	nan	nan	nan	nan	asexual reproduction
Offspring come from a single parent during <span class="blank"> </span>. 						asexual reproduction	reproduction that involves a single parent and results in offspring that are all genetically identical to the parent	single parent and|genetically		reproduction	that|results in offspring|all|identical to|parent		nan	nan	nan	nan	nan	asexual reproduction
Offspring come from a single parent during <span class="blank"> </span>. 						asexual reproduction	The generation of offspring from a single parent that occurs without the fusion of gametes (by budding, division of a single cell, or division of the entire organism into two or more parts).	gametes|organism	single parent|gametes|cell	generation|budding	offspring|single cell|division|entire organism|two|parts	occurs without the fusion of gametes	nan	nan	nan	nan	nan	asexual reproduction
